id,ingredient_name,ingredient_link,ingredient_image
37,2 oz  Strawberry schnapps,/ingredient/473-Strawberry-schnapps,../images/ingredients/Strawberry schnapps-Medium.png
37,2 oz  Orange juice,/ingredient/352-Orange-juice,../images/ingredients/Orange juice-Medium.png
37,2 oz  Cranberry juice,/ingredient/155-Cranberry-juice,../images/ingredients/Cranberry juice-Medium.png
37,Club soda,/ingredient/127-Club-soda,../images/ingredients/Club soda-Medium.png
38,1 1/2 oz  Scotch,/ingredient/5-Scotch,../images/ingredients/Scotch-Medium.png
38,1 oz  Sweet Vermouth,/ingredient/482-Sweet-Vermouth,../images/ingredients/Sweet Vermouth-Medium.png
38,1 oz  Dry Vermouth,/ingredient/189-Dry-Vermouth,../images/ingredients/Dry Vermouth-Medium.png
38,2 dashes  Orange bitters,/ingredient/350-Orange-bitters,../images/ingredients/Orange bitters-Medium.png
39,1 oz  Apricot brandy,/ingredient/32-Apricot-brandy,../images/ingredients/Apricot brandy-Medium.png
39,1 oz  Triple sec,/ingredient/498-Triple-sec,../images/ingredients/Triple sec-Medium.png
39,Juice of 1  Lime,/ingredient/312-Lime,../images/ingredients/Lime-Medium.png
39,1  Lime,/ingredient/312-Lime,../images/ingredients/Lime-Medium.png
40,Peppermint schnapps,/ingredient/388-Peppermint-schnapps,../images/ingredients/Peppermint schnapps-Medium.png
40,Kahlua,/ingredient/282-Kahlua,../images/ingredients/Kahlua-Medium.png
40,Baileys irish cream,/ingredient/43-Baileys-irish-cream,../images/ingredients/Baileys irish cream-Medium.png
41,2 cl  Vodka,/ingredient/1-Vodka,../images/ingredients/Vodka-Medium.png
41,1 cl  Creme de Banane,/ingredient/163-Creme-de-Banane,../images/ingredients/Creme de Banane-Medium.png
41,Orange juice,/ingredient/352-Orange-juice,../images/ingredients/Orange juice-Medium.png
42,1 oz  Triple sec,/ingredient/498-Triple-sec,../images/ingredients/Triple sec-Medium.png
42,1 oz  Apricot brandy,/ingredient/32-Apricot-brandy,../images/ingredients/Apricot brandy-Medium.png
42,1/2 tsp  Lemon juice,/ingredient/293-Lemon-juice,../images/ingredients/Lemon juice-Medium.png
43,1 part  Grenadine,/ingredient/250-Grenadine,../images/ingredients/Grenadine-Medium.png
